Project Name (Link),Valuation,GC: Company Name,County,Target Start Date,Target Completion Date,Primary Project Type,Owner: Company Name,Owner: Company Phone,Work Type,Address,City,GC: Company Phone,GC: Company Address,GC: Company City,GC: Contact Name,GC: Company County,GC: Company Email,Delivery System,Specs Available,GC: Company Website,Tags (Private),Tags (Shared),User Notes,Comments
Santa Fe Site Portable Modernization,$ 3222000,,ALAMEDA,2025-06-01,,Clinic/Medical Office,Oakland Unified School District Facilities & Mgmt,5105354462.0,"Alterations, New Project",915 54th St,OAKLAND,,,,,,,Design-Bid-Build,Y,,,,,
Sequoia Grove Townhomes,$ 3000000 - $ 4999999,Habitat for Humanity East Bay/Silicon Valley Inc.,ALAMEDA,2024-10-01,2025-11-01,Apartments/Condominiums 1-3 Stories,Habitat for Humanity East Bay/Silicon Valley Inc.,5102516304.0,New Project,123 A St,HAYWARD,5103165889.0,2619 Broadway # 206,Oakland,Ben Grubb,ALAMEDA,bgrubb@habitatebsv.org,Design-Bid-Build,N,http://www.habitatebsv.org/contact,,,,
Summer Oak Family Housing,$ 5000000 - $ 9999999,Midstate Construction Corp.,SONOMA,2025-03-01,,Apartments/Condominiums 1-3 Stories,"Springs Investors Group, LP",7074819653.0,New Project,175 W Verano Ave,SONOMA,7077623200.0,1180 Holm Rd,Petaluma,,SONOMA,bids@midstateconstruction.com,Design-Bid-Build,N,https://www.midstateconstruction.com/,,,,
House,$ 1114003,,SANTA CLARA,,,Sale/Spec Homes,Toll Brothers Inc Northern Ca Division,,New Project,2155 Via Santa Elena,Morgan Hill,,,,,,,,,,,,,
House,$ 1441998,,SANTA CLARA,,,Sale/Spec Homes,Toll Brothers Inc Northern Ca Division,,New Project,2130 Via Santa Elena,Morgan Hill,,,,,,,,,,,,,
House,$ 1114003,,SANTA CLARA,,,Sale/Spec Homes,Toll Brothers Inc Northern Ca Division,,New Project,2185 Via Santa Elena,Morgan Hill,,,,,,,,,,,,,
House,$ 1150855,,SANTA CLARA,,,Sale/Spec Homes,Toll Brothers Inc Northern Ca Division,,New Project,2165 Via Santa Elena,Morgan Hill,,,,,,,,,,,,,
House,$ 1150855,,SANTA CLARA,,,Sale/Spec Homes,Toll Brothers Inc Northern Ca Division,,New Project,2175 Via Santa Elena,Morgan Hill,,,,,,,,,,,,,
Roosevelt Park Transportation Improvements,$ 580000,Pacific Electric,SANTA CLARA,2025-04-01,,Park/Playground,City of San Jose Public Works,4085358300.0,"Alterations, New Project",S 31st St Various Locations,SAN JOSE,4082938102.0,330 Phelan Ave,San Jose,,SANTA CLARA,,Design-Bid-Build,Y,,,,,
CA/DOT: Pipe Culvert Wingwall Construction,$ 1026808,"Rege Construction, Inc.",SONOMA,2025-04-01,,Storm Sewer,State of California Department of Transportation,9166542852.0,New Project,Skaggs Springs Rd,GEYSERVILLE,7078945143.0,600 SANTANA DR,CLOVERDALE,,SONOMA,zach@regeconstruction.com,Design-Bid-Build,N,http://www.regeconstruction.com/,REACH OUT,,,
House,$ 1208406,,SANTA CLARA,,,Sale/Spec Homes,Toll Brothers Inc Northern Ca Division,,New Project,2135 Via Santa Elena,Morgan Hill,,,,,,,,,,,,,
House,$ 1441998,,SANTA CLARA,,,Sale/Spec Homes,Toll Brothers Inc Northern Ca Division,,New Project,2145 Via Santa Elena,Morgan Hill,,,,,,,,,,,,,
The Terraces at Bethany Homes,$ 16303000,Quiring General LLC,SAN JOAQUIN,2023-06-01,2025-08-01,Elderly/Assisted Living,GSI,4255596315.0,New Project,816 W Main St,RIPON,5594322800.0,5118 E Clinton Way Ste 201,Fresno,,FRESNO,bids@quiring.com,,N,https://www.quiring.com/,,,,
Balboa Park Reservoir Apartment Building A - D/B,$ 25000000 - $ 49999999,Guzman Construction,SAN FRANCISCO,2026-01-01,,Apartments/Condominiums 4  Stories,Bridge Housing Corporation,4159891111.0,New Project,11 Frida Kahlo Way,SAN FRANCISCO,4158212522.0,1501 Mariposa St Ste 316,San Francisco,,SAN FRANCISCO,bids@guzmangc.com,,N,https://www.guzmangc.com/,,,,
Pulgas Avenue Mini-Roundabouts,$ 752060,Villalobos And Associates Inc,SAN MATEO,2025-04-01,,Paving,"East Palo Alto, City of",6503888921.0,"Alterations, New Project",Pulgas Ave,EAST PALO ALTO,4084261274.0,7810 Monterey St,Gilroy,,SANTA CLARA,,Design-Bid-Build,N,,,,,
Adaptive Traffic Signal System - Eleventh Street Project,$ 797850,"Tennyson Electric, Inc.",SAN JOAQUIN,2025-04-01,,Roadway Lighting,City of Tracy,2098316486.0,New Project,,TRACY,9256061038.0,7275 National Dr Ste A2,Livermore,,ALAMEDA,mcoatney@tennysonelec.com,Design-Bid-Build,N,https://www.tennysonelectric.com,,,,
Local Advanced Water Purification System,$ 46801100,"Anderson Pacific Engineering Construction, Inc.",SANTA CLARA,2025-05-01,,Water Treatment Plant,City of Palo Alto Public Works,6503292271.0,New Project,,Palo Alto,4089709900.0,1370 Norman Ave,Santa Clara,Angela Schellenberg,SANTA CLARA,,Design-Bid-Build,Y,http://andpac.com/,FOLLOW UP  | PRIORITY | REACH OUT,,,
2024/2025 Gravity Sewer Improvements,$ 6137410,"Glosage Engineering, Inc",MARIN,2025-04-01,,Sanitary Sewer,Sanitary Dist #1 of Marin Co-Ross Valley Sanitary,4152592949.0,"Alterations, New Project",Various Location,SAN RAFAEL,5108154505.0,590 S 33rd St,Richmond,,CONTRA COSTA,frontdesk@glosage.com,Design-Bid-Build,Y,https://www.glosage.com/about,REACH OUT,,,
Northgate Community Park Restroom Replacement,$ 1234777,Calstate Constructors,ALAMEDA,2025-04-01,2026-02-01,Miscellaneous Recreational,City of Fremont,3104944750.0,New Project,34051 Rowland Dr,FREMONT,4155080441.0,5 Thomas Mellon Cir,San Francisco,,SAN FRANCISCO,,Design-Bid-Build,Y,,,,,
Laney College Library & Learning Resource Center REBID,$ 77942100,Thompson Builders Corporation,ALAMEDA,2025-05-01,2027-05-01,Library,Peralta Community College District,5104667217.0,New Project,900 Fallon St,OAKLAND,4154568972.0,5400 Hanna Ranch Rd Po Box 6115,Novato,,MARIN,bids@tbcorp.com,Design-Bid-Build,Y,http://www.tbcorp.com,FOLLOW UP,,,
New Sand Creek Sports Complex Phase 1A,$ 20114367,Robert A. Bothman Construction,CONTRA COSTA,2025-04-01,2026-04-01,Miscellaneous Recreational,City of Brentwood,9255165400.0,"Alterations, New Project",Sand Creek Rd & Fairview Ave,BRENTWOOD,4082792277.0,2690 Scott Blvd,Santa Clara,,SANTA CLARA,estimating@bothman.com,Design-Bid-Build,Y,https://www.bothman.com/,REACH OUT,,,
House,$ 1692960,,SANTA CLARA,,,Sale/Spec Homes,Stocklmeir Eric,,New Project,12820 Paseo Presada,Saratoga,,,,,,,,,,,,,
House,$ 750000,,SANTA CLARA,,,Sale/Spec Homes,Ok Contracting,,New Project,736 Lola Ln,Mountain View,,,,,,,,,,,,,
Edenvale Industrial Park - Buildings 1 & 2,$ 25000000 - $ 49999999,Uprite Construction,SANTA CLARA,2024-07-01,2025-06-01,Warehouse,,,New Project,550 Piercy Rd 6480 Hellyer Ave,SAN JOSE,9498778877.0,2211 Michelson Dr Ste 500,Irvine,,ORANGE,info@uprite.com,Design-Bid-Build,N,,,,,
New Residential Building,$ 5011760,,SANTA CLARA,2025-02-01,,Sale/Spec Homes,Pulte Group,9252493200.0,New Project,18764 Cox Ave,SARATOGA,,,,,,,,N,,,,,
walk-in freezer & cold storage Nelda Mundy & Laurel creek ES,$ 868777,"Mesa Energy Systems ,Inc.",SOLANO,2025-04-01,,Warehouse (Refrigerated),Fairfield-Suisun Unified School District,7073995148.0,"Alterations, New Project",570 Vintage Valley Dr 2900 Gulf Dr,FAIRFIELD,9166361825.0,3633 Seaport Blvd,West Sacramento,,YOLO,,Design-Bid-Build,Y,https://mesaenergy.com/,,,,
Edenvale Industrial Park - Building 3,$ 23000000,Uprite Construction,SANTA CLARA,2024-08-01,2025-06-01,Warehouse,,,New Project,650 Piercy Rd,SAN JOSE,9498778877.0,2211 Michelson Dr Ste 500,Irvine,,ORANGE,info@uprite.com,Design-Bid-Build,N,,,,,
Gateway School Playground,$ 618495,G&G Builders Inc.,SANTA CLARA,2025-02-01,2025-07-01,Park/Playground,Santa Clara County Office of Education,4084536684.0,New Project,7151 Hanna St,GILROY,9258469023.0,4542 Contractors Pl,Livermore,,ALAMEDA,,Design-Bid-Build,Y,http://www.ggbuildersinc.com,,,,
PG&E Underground Electric Powerlines Napa Cnty 2025,$ 50000000 - $ 75000000,,NAPA,2025-04-01,2025-12-01,Power Lines,PG&E - Pacific Gas & Electric Company,4159738200.0,New Project,,,,,,,,,,N,,FOLLOW UP  | MADE CONTACT,,,
PG&E Underground Electric Powerlines Lake Cnty 2025,$ 25000000 - $ 49999999,,LAKE,2025-04-01,2025-12-01,Power Lines,PG&E - Pacific Gas & Electric Company,4159738200.0,New Project,,UPPER LAKE,,,,,,,,N,,PRIORITY | REACH OUT,,,
Willits Rail With Trail Project,$ 8979272,Bouthillier's Construction,MENDOCINO,2025-02-01,2025-12-01,Park/Playground,City of Willits,7074597143.0,"Alterations, New Project",E Hill Rd Various Locations,WILLITS,7074594041.0,1571 S MAIN ST,WILLITS,,MENDOCINO,wecandigit@onemain.com,Design-Bid-Build,N,http://www.bouthilliersconstructioninc.com,REACH OUT,,,
walk-in freezer & cold storage Nelda Mundy & LAUREL CREEK ES,$ 868777,"Mesa Energy Systems, Inc.",SOLANO,2025-02-01,,Warehouse (Refrigerated),Fairfield-Suisun Unified School District,7073995148.0,New Project,570 Vintage Valley Dr 2900 Gulf Dr,FAIRFIELD,5106701690.0,14450 Doolittle Dr,San Leandro,,ALAMEDA,jphillips@emcor.net,Design-Bid-Build,Y,,,,,
PG&E Underground Electric Powerline Santa Cruz Cnty 2025,$ 15000000 - $ 24999999,,SANTA CRUZ,2025-04-01,2025-12-01,Power Lines,PG&E - Pacific Gas & Electric Company,4159738200.0,New Project,,,,,,,,,,N,,,,,
New Commercial Building,$ 3944400,"Skyline Construction, Inc.",CONTRA COSTA,2024-03-01,,Office,,,New Project,3645 San Pablo Dam Rd,EL SOBRANTE,4085644256.0,2384 Walsh Ave,Santa Clara,,SANTA CLARA,info@skylineconstruction.build,,N,https://www.skylineconstruction.build/,,,,
Petaluma Hill Road & Laurel Drive Signalization REBID,$ 707470,Dc Electric Group Inc.,SONOMA,2025-04-01,,Roadway Lighting,City of Rohnert Park,7075883300.0,New Project,Petaluma Hill Rd Various Locations,ROHNERT PARK,9257844566.0,8023 Gravenstein Hwy,Cotati,,SONOMA,don@dcelectricgroup.com,Design-Bid-Build,N,https://dcelectricgroup.com/,,,,
Potrero Power Station Block 2,$ 50000000 - $ 75000000,DPR Construction,SAN FRANCISCO,2025-04-01,,Clinic/Medical Office,,,New Project,1201 Illinois St,SAN FRANCISCO,4157823700.0,55 Francisco St Ste 600 San Francisco CA 94133-2115,San Francisco,,SAN FRANCISCO,bids@dprinc.com,Design-Bid-Build,N,http://www.dprinc.com/,FOLLOW UP  | REACH OUT,,,
Greene Middle School Transformation LEASE/LEASE BACK,$ 17000000,Swinerton Builders,SANTA CLARA,2025-05-01,2027-08-01,Middle/Senior High School,Palo Alto Unified School District,6503293927.0,"Alterations, New Project",750 N California Ave,PALO ALTO,4085679755.0,2880 Lakeside Dr Ste 300,Santa Clara,,SANTA CLARA,bids@swinerton.com,Design-Bid-Build,N,http://www.swinerton.com/,,,,
Beale Street Improvements Phase 1,$ 1841495,"Esquivel Grading & Paving, Inc.",SAN FRANCISCO,2025-04-01,2026-02-01,Paving,City & County of San Francisco,6282713136.0,"Alterations, New Project",Beale St,SAN FRANCISCO,4154685700.0,918 Ingerson Ave,San Francisco,,SAN FRANCISCO,joe@esquivel-gp.com,Design-Bid-Build,Y,https://egpconstruction.com/,,,,
"Residence Inn by Marriott - Scotts Valley, CA",$ 15000000 - $ 24999999,Parkway Construction,SANTA CRUZ,2025-04-01,2026-04-01,Hotel/Motel,"CRDSV, LLC",8318547805.0,New Project,Polo Ranch Rd.,Scotts Valley,4694702022.0,1000 Civic Cir,Lewisville,Katy Kienle,DENTON,kkienle@pkwycon.com,Design-Bid-Build,Y,https://parkwayconstruction.com/,FOLLOW UP,,,
Shea Portola Ave Apartments,$ 25000000 - $ 49999999,Shea Homes,ALAMEDA,2025-03-01,,Apartments/Condominiums 4  Stories,,,New Project,Portola Ave & Tranquility Cir,LIVERMORE,9252453631.0,2630 Shea Center Dr,Livermore,David Best,ALAMEDA,dbest44987@yahoo.com,Owner Subcontracting,N,http://www.sheahomes.com,FOLLOW UP,,,
CA/DOT: Electric Vehicle Charging Station Installation,$ 500000 - $ 749999,,SAN JOAQUIN,2025-05-01,,Vehicle Sales/Service,State of California Department of Transportation,9166542852.0,New Project,1604 South B Street,Stockton,,,,,,,Design-Bid-Build,N,,,,,
2655 The Alameda Mixed-Use,$ 10000000 - $ 14999999,SWENSON Builders,SANTA CLARA,2025-05-01,2026-07-01,Apartments/Condominiums 4  Stories,Kapital Partners,4086284346.0,New Project,2655 The Alameda,SANTA CLARA,4082870246.0,777 N 1st St Fl 5,San Jose,,SANTA CLARA,bids@swenson.com,Design-Bid-Build,N,http://www.swensonbuilders.com/,,,,
Academic Building,$ 100000000,Devcon Construction Inc,SAN FRANCISCO,2025-02-01,2026-07-01,Middle/Senior High School,St Ignatius College Preparatory,4157317500.0,New Project,2001 37th Ave,SAN FRANCISCO,8314624333.0,21532 E Cliff Dr,Santa Cruz,,SANTA CRUZ,,Design-Bid-Build,N,https://www.devcon-const.com,,,,
Dent Elementary Area Sidewalk Infill,$ 857915,Tbs Contractors,SAN JOAQUIN,2025-01-01,2025-04-01,Sidewalk/Parking Lot,City of Escalon,2096917400.0,New Project,1998 Yosemite Ave,ESCALON,2093848424.0,1605 E Gerard Ave,Merced,,MERCED,estimating@taylorbackhoe.com,Design-Bid-Build,N,https://www.tbsconstruction.com/,,,,
Walk-in Freezer & Cold Storage Rodriguez HS Dover ES,$ 512490,"Construction West Services, Inc.",SOLANO,2025-04-01,,Warehouse (Refrigerated),Fairfield-Suisun Unified School District,7073995000.0,"Alterations, New Project",5000 Red Top Rd Various Locations,FAIRFIELD,9253878177.0,837 Arnold Dr,Martinez,,CONTRA COSTA,bids@cw-si.com,Design-Bid-Build,Y,http://cw-si.com,,,,
FY 2024/2025 Street Rehabilitation,$ 1170990,MCK Services,SAN MATEO,2025-05-01,,Paving,City of Foster City,6502863573.0,"Alterations, New Project",Various Locations,FOSTER CITY,9259579200.0,865 Howe Rd,Martinez,,CONTRA COSTA,njackson@mckpaving.com,Design-Bid-Build,N,https://www.mckpaving.com/,,,,
Domestic Water Line Upgrade,$ 1850300,Arizona Pipeline Company,SANTA CLARA,2025-05-01,2025-10-01,Water Line,Gavilan Joint Community College District,7084667937.0,New Project,5055 Santa Teresa Blvd,GILROY,7755157017.0,2670 Lockheed Way,Carson City,,CARSON CITY,cbanuelos@arizonapipeline.com,Design-Bid-Build,N,,,,,
620 S Franklin Residential Building,$ 500000 - $ 749999,,MENDOCINO,2025-02-01,,Apartments/Condominiums 1-3 Stories,South Harrison Street Development LLC,,New Project,620 S Franklin St,FORT BRAGG,,,,,,,,N,,,,,
